Year,FMP,binL,Sex,Frequency,Source,Species
2011,BSAI,50,M,1,IPHCLL,310
2011,BSAI,60,M,2,IPHCLL,310
2011,BSAI,65,M,2,IPHCLL,310
2011,BSAI,70,F,3,IPHCLL,310
2011,BSAI,70,M,1,IPHCLL,310
2011,BSAI,75,F,4,IPHCLL,310
2011,BSAI,80,F,2,IPHCLL,310
2011,BSAI,85,M,1,IPHCLL,310
2011,BSAI,90,F,2,IPHCLL,310
2011,BSAI,95,F,1,IPHCLL,310
2011,BSAI,100,F,1,IPHCLL,310
2011,CAN,45,F,1,IPHCLL,310
2011,CAN,50,F,9,IPHCLL,310
2011,CAN,50,M,6,IPHCLL,310
2011,CAN,55,F,14,IPHCLL,310
2011,CAN,55,M,17,IPHCLL,310
2011,CAN,60,F,21,IPHCLL,310
2011,CAN,60,M,66,IPHCLL,310
2011,CAN,65,F,32,IPHCLL,310
2011,CAN,65,M,87,IPHCLL,310
2011,CAN,70,F,23,IPHCLL,310
2011,CAN,70,M,24,IPHCLL,310
2011,CAN,75,F,55,IPHCLL,310
2011,CAN,75,M,2,IPHCLL,310
2011,CAN,80,F,71,IPHCLL,310
2011,CAN,85,F,49,IPHCLL,310
2011,CAN,90,F,15,IPHCLL,310
2011,CAN,95,F,2,IPHCLL,310
2011,GOA,45,F,1,IPHCLL,310
2011,GOA,45,M,1,IPHCLL,310
2011,GOA,50,F,16,IPHCLL,310
2011,GOA,50,M,19,IPHCLL,310
2011,GOA,55,F,102,IPHCLL,310
2011,GOA,55,M,96,IPHCLL,310
2011,GOA,60,F,192,IPHCLL,310
2011,GOA,60,M,216,IPHCLL,310
2011,GOA,65,F,223,IPHCLL,310
2011,GOA,65,M,309,IPHCLL,310
2011,GOA,70,F,189,IPHCLL,310
2011,GOA,70,M,130,IPHCLL,310
2011,GOA,75,F,159,IPHCLL,310
2011,GOA,75,M,31,IPHCLL,310
2011,GOA,80,F,137,IPHCLL,310
2011,GOA,80,M,3,IPHCLL,310
2011,GOA,85,F,90,IPHCLL,310
2011,GOA,85,M,2,IPHCLL,310
2011,GOA,90,F,46,IPHCLL,310
2011,GOA,95,F,13,IPHCLL,310
2011,GOA,100,F,4,IPHCLL,310
2011,WC,40,M,4,IPHCLL,310
2011,WC,45,F,1,IPHCLL,310
2011,WC,45,M,5,IPHCLL,310
2011,WC,50,F,4,IPHCLL,310
2011,WC,50,M,9,IPHCLL,310
2011,WC,55,F,11,IPHCLL,310
2011,WC,55,M,19,IPHCLL,310
2011,WC,60,F,11,IPHCLL,310
