"YEAR","REGULATORY_AREA_NAME","Biom_est","Biom_CV","Biom_LL","Biom_UL","Group"
"1980","AI","3.59195","0.821945","0.717259","17.988","Spiny Dogfish"
"1980","ALEUTIANS","1.56039","0.930822","0.25171","9.67307","Spiny Dogfish"
"1980","S BERING SEA","2.03156","1.06061","0.254108","16.242","Spiny Dogfish"
"1981","AI","3.59195","0.750135","0.825662","15.6264","Spiny Dogfish"
"1981","ALEUTIANS","1.56039","0.845006","0.297817","8.17553","Spiny Dogfish"
"1981","S BERING SEA","2.03156","0.986145","0.294039","14.0363","Spiny Dogfish"
"1982","AI","3.59195","0.674116","0.958321","13.4632","Spiny Dogfish"
"1982","ALEUTIANS","1.56039","0.749415","0.359185","6.77872","Spiny Dogfish"
"1982","S BERING SEA","2.03156","0.905578","0.344338","11.986","Spiny Dogfish"
"1983","AI","3.59195","0.592504","1.12455","11.4731","Spiny Dogfish"
"1983","ALEUTIANS","1.56039","0.639692","0.445365","5.46701","Spiny Dogfish"
"1983","S BERING SEA","2.03156","0.817078","0.409561","10.0772","Spiny Dogfish"
"1984","AI","4.03333","0.591731","1.26465","12.8634","Spiny Dogfish"
"1984","ALEUTIANS","1.80426","0.67894","0.476841","6.82691","Spiny Dogfish"
"1984","S BERING SEA","2.22907","0.815146","0.451083","11.0151","Spiny Dogfish"
"1985","AI","4.53202","0.592914","1.41773","14.4874","Spiny Dogfish"
"1985","ALEUTIANS","2.08624","0.723707","0.505049","8.6178","Spiny Dogfish"
"1985","S BERING SEA","2.44578","0.808943","0.500993","11.94","Spiny Dogfish"
"1986","AI","5.09586","0.598857","1.57565","16.4807","Spiny Dogfish"
"1986","ALEUTIANS","2.4123","0.773046","0.530152","10.9764","Spiny Dogfish"
"1986","S BERING SEA","2.68356","0.79838","0.561199","12.8323","Spiny Dogfish"
"1987","AI","5.58785","0.645689","1.57624","19.8092","Spiny Dogfish"
"1987","ALEUTIANS","2.61955","0.834581","0.510289","13.4473","Spiny Dogfish"
"1987","S BERING SEA","2.96831","0.846533","0.56484","15.5988","Spiny Dogfish"
"1988","AI","6.12787","0.689021","1.58783","23.6492","Spiny Dogfish"
"1988","ALEUTIANS","2.8446","0.886555","0.500461","16.1686","Spiny Dogfish"
"1988","S BERING SEA","3.28327","0.892763","0.570652","18.8904","Spiny Dogfish"
"1989","AI","6.72064","0.729412","1.60888","28.0736","Spiny Dogfish"
"1989","ALEUTIANS","3.08899","0.930568","0.498541","19.1395","Spiny Dogfish"
"1989","S BERING SEA","3.63165","0.937362","0.578369","22.8036","Spiny Dogfish"
"1990","AI","7.37137","0.767402","1.63803","33.1722","Spiny Dogfish"
"1990","ALEUTIANS","3.35437","0.967698","0.503373","22.3528","Spiny Dogfish"
"1990","S BERING SEA","4.017","0.980543","0.587823","27.4509","Spiny Dogfish"
"1991","AI","8.08579","0.803565","1.67384","39.0599","Spiny Dogfish"
"1991","ALEUTIANS","3.64256","0.998737","0.514357","25.7957","Spiny Dogfish"
"1991","S BERING SEA","4.44323","1.02248","0.598893","32.9647","Spiny Dogfish"
"1992","AI","8.87019","0.838499","1.7147","45.8857","Spiny Dogfish"
"1992","ALEUTIANS","3.9555","1.02421","0.531341","29.4462","Spiny Dogfish"
"1992","S BERING SEA","4.9147","1.06333","0.611471","39.5018","Spiny Dogfish"
"1993","AI","9.73151","0.872818","1.75882","53.8441","Spiny Dogfish"
"1993","ALEUTIANS","4.29533","1.04456","0.554429","33.2772","Spiny Dogfish"
"1993","S BERING SEA","5.43619","1.10318","0.625528","47.2435","Spiny Dogfish"
"1994","AI","10.6774","0.907177","1.80409","63.193","Spiny Dogfish"
"1994","ALEUTIANS","4.66435","1.06007","0.584034","37.2515","Spiny Dogfish"
"1994","S BERING SEA","6.01301","1.14219","0.640976","56.4082","Spiny Dogfish"
"1995","AI","11.2447","0.941624","1.77592","71.1993","Spiny Dogfish"
"1995","ALEUTIANS","4.9201","1.10735","0.561532","43.1096","Spiny Dogfish"
"1995","S BERING SEA","6.32464","1.17462","0.632679","63.225","Spiny Dogfish"
"1996","AI","11.8423","0.971942","1.76239","79.5737","Spiny Dogfish"
"1996","ALEUTIANS","5.18987","1.14937","0.545502","49.3761","Spiny Dogfish"
"1996","S BERING SEA","6.65242","1.20239","0.630214","70.2217","Spiny Dogfish"
"1997","AI","12.4716","0.998385","1.7623","88.2604","Spiny Dogfish"
"1997","ALEUTIANS","5.47444","1.18668","0.534834","56.0351","Spiny Dogfish"
"1997","S BERING SEA","6.99719","1.22578","0.633164","77.327","Spiny Dogfish"
"1998","AI","13.0045","1.04371","1.68139","100.582","Spiny Dogfish"
"1998","ALEUTIANS","5.77461","1.21972","0.528779","63.0624","Spiny Dogfish"
"1998","S BERING SEA","7.22994","1.27656","0.592248","88.2603","Spiny Dogfish"
"1999","AI","13.5617","1.08597","1.61405","113.948","Spiny Dogfish"
"1999","ALEUTIANS","6.09123","1.2488","0.526868","70.422","Spiny Dogfish"
"1999","S BERING SEA","7.47042","1.32345","0.558216","99.9743","Spiny Dogfish"
"2000","AI","14.1441","1.12543","1.55809","128.399","Spiny Dogfish"
"2000","ALEUTIANS","6.42522","1.27425","0.528715","78.0825","Spiny Dogfish"
"2000","S BERING SEA","7.71891","1.36685","0.529753","112.471","Spiny Dogfish"
"2001","AI","14.4964","1.1721","1.45731","144.202","Spiny Dogfish"
"2001","ALEUTIANS","6.77752","1.29626","0.534164","85.9936","Spiny Dogfish"
"2001","S BERING SEA","7.71891","1.42151","0.47593","125.19","Spiny Dogfish"
"2002","AI","14.868","1.21785","1.36646","161.774","Spiny Dogfish"
"2002","ALEUTIANS","7.14913","1.31497","0.543165","94.0969","Spiny Dogfish"
"2002","S BERING SEA","7.71891","1.47413","0.42929","138.791","Spiny Dogfish"
"2003","AI","15.26","1.26308","1.28352","181.43","Spiny Dogfish"
"2003","ALEUTIANS","7.54112","1.33055","0.555714","102.334","Spiny Dogfish"
"2003","S BERING SEA","7.71891","1.52495","0.388589","153.328","Spiny Dogfish"
"2004","AI","15.6735","1.30807","1.20701","203.527","Spiny Dogfish"
"2004","ALEUTIANS","7.95461","1.34314","0.571894","110.643","Spiny Dogfish"
"2004","S BERING SEA","7.71891","1.57413","0.352883","168.842","Spiny Dogfish"
"2005","AI","16.1097","1.35312","1.13576","228.5","Spiny Dogfish"
"2005","ALEUTIANS","8.39077","1.35277","0.591971","118.933","Spiny Dogfish"
"2005","S BERING SEA","7.71891","1.62181","0.321395","185.384","Spiny Dogfish"
"2006","AI","16.5697","1.39843","1.06893","256.851","Spiny Dogfish"
"2006","ALEUTIANS","8.85084","1.3595","0.616243","127.121","Spiny Dogfish"
"2006","S BERING SEA","7.71891","1.66813","0.293507","202.999","Spiny Dogfish"
"2007","AI","16.6567","1.45181","0.967786","286.679","Spiny Dogfish"
"2007","ALEUTIANS","8.93775","1.36163","0.61971","128.905","Spiny Dogfish"
"2007","S BERING SEA","7.71891","1.71318","0.268702","221.738","Spiny Dogfish"
"2008","AI","16.7444","1.50636","0.874249","320.705","Spiny Dogfish"
"2008","ALEUTIANS","9.02552","1.36104","0.626514","130.021","Spiny Dogfish"
"2008","S BERING SEA","7.71891","1.75707","0.246554","241.657","Spiny Dogfish"
"2009","AI","16.8331","1.56167","0.788575","359.322","Spiny Dogfish"
"2009","ALEUTIANS","9.11415","1.35778","0.636729","130.46","Spiny Dogfish"
"2009","S BERING SEA","7.71891","1.79989","0.226704","262.817","Spiny Dogfish"
"2010","AI","16.9226","1.61731","0.710859","402.855","Spiny Dogfish"
"2010","ALEUTIANS","9.20365","1.35185","0.650494","130.22","Spiny Dogfish"
"2010","S BERING SEA","7.71891","1.84171","0.208862","285.267","Spiny Dogfish"
"2011","AI","17.0129","1.6729","0.640876","451.632","Spiny Dogfish"
"2011","ALEUTIANS","9.29403","1.34318","0.668133","129.284","Spiny Dogfish"
"2011","S BERING SEA","7.71891","1.88261","0.192773","309.077","Spiny Dogfish"
"2012","AI","17.1042","1.72808","0.578267","505.915","Spiny Dogfish"
"2012","ALEUTIANS","9.3853","1.33171","0.690034","127.651","Spiny Dogfish"
"2012","S BERING SEA","7.71891","1.92264","0.178225","334.305","Spiny Dogfish"
"2013","AI","17.1964","1.78253","0.522537","565.922","Spiny Dogfish"
"2013","ALEUTIANS","9.47746","1.31739","0.716644","125.337","Spiny Dogfish"
"2013","S BERING SEA","7.71891","1.96186","0.165041","361.012","Spiny Dogfish"
"2014","AI","17.2894","1.83601","0.473086","631.861","Spiny Dogfish"
"2014","ALEUTIANS","9.57053","1.30009","0.74865","122.347","Spiny Dogfish"
"2014","S BERING SEA","7.71891","2.0003","0.153062","389.264","Spiny Dogfish"
"2015","AI","17.1577","1.88781","0.424152","694.058","Spiny Dogfish"
"2015","ALEUTIANS","9.43877","1.30188","0.735758","121.086","Spiny Dogfish"
